City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
118,Chany,RU,2022-01-20 22:46:27,55.3121,76.7647,-8.54,100,82,3.89
119,Avera,US,2022-01-20 22:46:27,33.194,-82.5271,54.72,97,100,6.2
120,Nhamunda,BR,2022-01-20 22:46:27,-2.1861,-56.7131,82.78,60,85,3.58
121,Pisco,PE,2022-01-20 22:46:27,-13.7,-76.2167,75.25,73,0,24.16
122,Arcata,US,2022-01-20 22:46:28,40.8665,-124.0828,63.68,80,0,1.01
123,Villefranche-De-Rouergue,FR,2022-01-20 22:46:30,44.3333,2.0,34.14,96,6,3.69
124,Georgetown,MY,2022-01-20 22:46:31,5.4112,100.3354,79.9,91,20,0.0
125,Ponta Do Sol,PT,2022-01-20 22:46:32,32.6667,-17.1,65.12,45,97,16.49
126,Avarua,CK,2022-01-20 22:43:43,-21.2078,-159.775,80.65,89,75,19.57
127,Humaita,BR,2022-01-20 22:46:32,-7.5061,-63.0208,76.98,92,98,2.13
128,Castro,BR,2022-01-20 22:46:33,-24.7911,-50.0119,67.44,89,74,4.94
129,Cangzhou,CN,2022-01-20 22:46:33,38.3167,116.8667,19.45,73,49,4.79
130,Puerto Ayora,EC,2022-01-20 22:47:33,-0.7393,-90.3518,84.16,92,93,4.0
131,Kamaishi,JP,2022-01-20 22:47:33,39.2667,141.8833,29.23,82,92,7.85
132,Aden,YE,2022-01-20 22:47:34,12.7794,45.0367,77.22,71,22,4.92
133,Cody,US,2022-01-20 22:43:57,44.5263,-109.0565,39.58,51,67,3.96
134,Kedrovyy,RU,2022-01-20 22:47:34,56.1667,91.8167,0.01,98,96,2.35
135,Port Elizabeth,ZA,2022-01-20 22:47:34,-33.918,25.5701,73.09,83,100,19.57
136,Plasy,CZ,2022-01-20 22:47:35,49.9345,13.3904,30.34,80,85,13.56
137,Qaqortoq,GL,2022-01-20 22:47:35,60.7167,-46.0333,27.1,85,100,27.0
